inputs snt do_max try_min try_max prune slice backend fallback reallocate prog_len prog_saved prog_regs cpu_time
18 batcher False True False True 4 sat False True 319 9 21 1.519371
18 batcher False True False True 6 sat False True 318 10 21 2.203156
18 batcher False True False True 9 sat False True 318 10 21 2.286382
18 jgamble_batcher False True False False -1 sat True True 318 10 21 295.205494
19 batcher False True False True 0 sat False True 352 12 23 3.785577
19 batcher False True False True -1 sat False True 352 12 23 2.586642
19 batcher False True False True 1 sat False True 364 0 20 0.910991
19 batcher False True False True -1 z3 False True 352 12 23 10.175974
19 batcher False True False True 2 sat False True 358 6 23 1.096471
19 batcher False True False True 3 sat False True 356 8 23 1.316151
19 batcher False True False True 3 sat False True 356 8 23 1.399077
19 batcher False True False True 4 sat False True 354 10 23 1.881291
19 batcher False True False True 6 sat False True 352 12 23 2.922089
19 batcher False True False True 9 sat False True 352 12 23 3.307734
19 jgamble_batcher False True False False -1 sat True True 352 12 23 428.877806
20 batcher False True False True 0 sat False True 375 13 25 4.527169
20 batcher False True False True 10 sat False True 375 13 25 3.909555
20 batcher False True False True -1 sat False True 375 13 25 2.895395
20 batcher False True False True 1 sat False True 388 0 21 1.004721
20 batcher False True False True -1 z3 False True 375 13 25 12.030421
20 batcher False True False True 2 sat False True 381 7 25 1.201564
20 batcher False True False True 3 sat False True 379 9 25 1.534483
20 batcher False True False True 4 sat False True 377 11 25 2.139094
20 batcher False True False True 5 sat False True 375 13 25 2.689142
20 batcher False True False True 6 sat False True 375 13 25 3.365652
20 jgamble_batcher False True False False -1 sat True True 375 13 25 491.603196
21 batcher False True False True 0 sat False True 413 15 25 5.826064
21 batcher False True False True 10 sat False True 413 15 25 4.990892
21 batcher False True False True -1 sat False True 413 15 25 3.904432
21 batcher False True False True 1 sat False True 428 0 22 1.470790
21 batcher False True False True -1 z3 False True 413 15 25 17.404756
21 batcher False True False True 2 sat False True 421 7 25 1.540313
21 batcher False True False True 3 sat False True 418 10 25 2.130450
21 batcher False True False True 4 sat False True 416 12 25 2.837351
21 batcher False True False True 5 sat False True 414 14 25 3.372683
21 batcher False True False True 7 sat False True 413 15 25 4.593385
